name,type,length_m,start_lon,start_lat,end_lon,end_lat
Carlos P. Garcia Avenue,secondary,41,121.065029,14.647727,121.064655,14.647683
Carlos P. Garcia Avenue,secondary,46,121.065388,14.647802,121.065781,14.647959
Carlos P. Garcia Avenue,secondary,40,121.065388,14.647802,121.065029,14.647727
C. V. Francisco Street,residential,365,121.065388,14.647802,121.065243,14.644526
V. Manansala Street,residential,69,121.064566,14.645155,121.064533,14.644533
E. Alonzo Street,residential,60,121.064566,14.645155,121.06401,14.645164
A. Malantic Street,residential,39,121.064533,14.644533,121.064895,14.644526
V. Manansala Street,residential,206,121.064533,14.644533,121.063661,14.643044
H. R. Ocampo Street,residential,356,121.064895,14.644526,121.065029,14.647727
A. Malantic Street,residential,37,121.064895,14.644526,121.065243,14.644526
A. Malantic Street,residential,39,121.064895,14.644526,121.064533,14.644533
A. Malantic Street,residential,37,121.065243,14.644526,121.064895,14.644526
C. V. Francisco Street,residential,284,121.065243,14.644526,121.064091,14.642477
Tiburcio Street,residential,39,121.063076,14.642629,121.062883,14.642929
V. Manansala Street,residential,100,121.063076,14.642629,121.062816,14.641988
S. Flores Street,residential,22,121.06301,14.641686,121.063119,14.641521
S. Flores Street,residential,40,121.06301,14.641686,121.062816,14.641988
C. V. Francisco Street,residential,146,121.064091,14.642477,121.06301,14.641686
D. Domingo Street,residential,39,121.064091,14.642477,121.063873,14.642759
D. Domingo Street,residential,39,121.063873,14.642759,121.064091,14.642477
D. Domingo Street,residential,39,121.063873,14.642759,121.063661,14.643044
H. R. Ocampo Street,residential,246,121.063873,14.642759,121.064895,14.644526
H. R. Ocampo Street,residential,142,121.062816,14.641988,121.063873,14.642759
D. Domingo Street,residential,39,121.063661,14.643044,121.063873,14.642759
V. Manansala Street,residential,78,121.063661,14.643044,121.063076,14.642629
Carlos P. Garcia Avenue,secondary,6,121.062323,14.647342,121.062376,14.647355
Carlos P. Garcia Avenue,secondary,162,121.062323,14.647342,121.060838,14.64713
V. Francisco Street,residential,76,121.062077,14.646858,121.062111,14.646181
B. Baluyot Street,residential,66,121.062077,14.646858,121.06269,14.646903
"Magiting Street, B. Baluyot Street",residential,133,121.062077,14.646858,121.060842,14.646863
B. Baluyot Street,residential,130,121.06269,14.646903,121.063822,14.647306
B. Baluyot Street,residential,66,121.06269,14.646903,121.062077,14.646858
Lieutenant J. Francisco Street,residential,240,121.063822,14.647306,121.06401,14.645164
B. Baluyot Street,residential,130,121.063822,14.647306,121.06269,14.646903
E. Alonzo Street,residential,60,121.06401,14.645164,121.064566,14.645155
Lieutenant J. Francisco Street,residential,81,121.06401,14.645164,121.06408,14.644436
P. Francisco Street,residential,71,121.06408,14.644436,121.063431,14.644346
Lieutenant J. Francisco Street,residential,18,121.06408,14.644436,121.064104,14.644272
P. Francisco Street,residential,46,121.062999,14.644342,121.062573,14.644326
Angeles Street,residential,124,121.06252,14.6452,121.061411,14.644896
V. Francisco Street,residential,109,121.06252,14.6452,121.062999,14.644342
E. Ramos Street,residential,82,121.062573,14.644326,121.06241,14.64361
P. Francisco Street,residential,121,121.062573,14.644326,121.061449,14.644314
V. Gonzales Street,residential,52,121.06241,14.64361,121.06193,14.643693
E. Ramos Street,residential,82,121.06241,14.64361,121.062573,14.644326
V. Gonzales Street,residential,45,121.06241,14.64361,121.062816,14.643573
Tiburcio Street,residential,78,121.062816,14.643573,121.062883,14.642929
Tiburcio Street,residential,98,121.062816,14.643573,121.063127,14.644338
V. Gonzales Street,residential,45,121.062816,14.643573,121.06241,14.64361
P. Francisco Street,residential,33,121.063431,14.644346,121.063127,14.644338
S. Salvador Street,residential,235,121.063431,14.644346,121.062829,14.646356
A. Roces Senior Avenue,residential,31,121.068529,14.660574,121.068555,14.660854
A. Roces Senior Avenue,residential,37,121.068529,14.660574,121.068521,14.660237
Bernardo Street,residential,166,121.068529,14.660574,121.066982,14.660565
Xavierville Avenue,secondary,33,121.063944,14.635737,121.064249,14.635794
Pajo Street,residential,64,121.063944,14.635737,121.063723,14.636211
Maginhawa Street,tertiary,236,121.059022,14.646478,121.060878,14.645501
Magiting Street,residential,72,121.059022,14.646478,121.058828,14.645856
Malinis Street,residential,63,121.054987,14.651009,121.055571,14.650967
Matiwasay Street,residential,75,121.054987,14.651009,121.05506,14.651678
Magiting Street,tertiary,115,121.059943,14.646893,121.059022,14.646478
Maginhawa Street,tertiary,76,121.05506,14.651678,121.055758,14.651579
Maginhawa Street,tertiary,70,121.05506,14.651678,121.054408,14.651739
Mahiyain Street,residential,107,121.059466,14.64507,121.059747,14.644204
Mahiyain Street,residential,93,121.059466,14.64507,121.058644,14.645321
Magiting Street,residential,63,121.058644,14.645321,121.058828,14.645856
Mahiyain Street,residential,93,121.058644,14.645321,121.059466,14.64507
Maginhawa Street,tertiary,95,121.053534,14.651652,121.054408,14.651739
Masaya Street,tertiary,221,121.053534,14.651652,121.052559,14.65331
J. P. Laurel Street,residential,19,121.064816,14.636007,121.064852,14.635844
Xavierville Avenue,secondary,66,121.064816,14.636007,121.065391,14.636219
Xavierville Avenue,secondary,65,121.064816,14.636007,121.064249,14.635794
Xavierville Avenue,secondary,66,121.065391,14.636219,121.064816,14.636007
Katipunan Avenue,primary,104,121.074308,14.649449,121.074306,14.648511
Unnamed Pathway,primary_link,19,121.074308,14.649449,121.074476,14.649434
Katipunan Avenue,primary,454,121.074476,14.649434,121.074513,14.653509
Carlos P. Garcia Avenue,secondary,20,121.074493,14.648336,121.074308,14.648335
Katipunan Avenue,primary,122,121.074493,14.648336,121.074476,14.649434
Katipunan Avenue,primary,65,121.074483,14.646348,121.074471,14.646928
Pajo Street,residential,55,121.064052,14.635256,121.063944,14.635737
Durian Street,residential,53,121.064052,14.635256,121.063585,14.635108
Laurel Avenue,unclassified,208,121.070474,14.659427,121.068544,14.659417
Laurel Avenue,unclassified,15,121.070474,14.659427,121.070618,14.659428
G. Apacible Street,residential,87,121.070474,14.659427,121.070472,14.660209
Ibanag Street,residential,134,121.07571,14.647422,121.07554,14.646248
Ibanag Street,residential,128,121.07571,14.647422,121.075727,14.648574
A. D. Williams Street,residential,99,121.077962,14.653639,121.077236,14.653099
Mactan Street,unclassified,10,121.076579,14.659957,121.07667,14.659987
Mactan Street,unclassified,39,121.076579,14.659957,121.076274,14.659773
Saddlebrook Street,residential,8,121.07662,14.660039,121.07667,14.659987
Saddlebrook Street,residential,18,121.07662,14.660039,121.076503,14.660155
Mactan Street,unclassified,10,121.07662,14.660039,121.076579,14.659957
Pansol Avenue,residential,62,121.077297,14.650325,121.077701,14.650723
N. Perez Street,residential,57,121.077297,14.650325,121.076875,14.650637
Pansol Avenue,residential,258,121.077297,14.650325,121.075632,14.648653
N. Perez Street,residential,268,121.076875,14.650637,121.076932,14.652627
N. Perez Street,residential,57,121.076875,14.650637,121.077297,14.650325
N. Perez Street,residential,268,121.076932,14.652627,121.076875,14.650637
Visayas Avenue,secondary,140,121.04493,14.658748,121.045387,14.65757
Road 10,residential,53,121.04493,14.658748,121.044467,14.658598
Road 1,secondary,74,121.044643,14.659759,121.043967,14.659617
Road 1,secondary,14,121.044643,14.659759,121.044771,14.659786
Visayas Avenue,secondary,117,121.044643,14.659759,121.04493,14.658748
Road 8,tertiary,12,121.043914,14.662953,121.044027,14.662972
Visayas Avenue,secondary,142,121.043914,14.662953,121.0442,14.661711
Alley 18,residential,60,121.042782,14.661762,121.043333,14.661691
Road 8,tertiary,12,121.044027,14.662972,121.043914,14.662953
Road 1,secondary,14,121.044771,14.659786,121.044643,14.659759
Visayas Avenue,secondary,170,121.044771,14.659786,121.044419,14.661277
Road 1,secondary,5,121.043925,14.65961,121.043967,14.659617
Road 3,tertiary,66,121.043925,14.65961,121.043796,14.660193
"L. Abenojar Street, San Agustin Street",residential,317,121.05488,14.662043,121.053705,14.663625
Central Avenue,secondary,160,121.05488,14.662043,121.053393,14.662075
Central Avenue,secondary,246,121.05488,14.662043,121.057165,14.661993
Masinsinan Street,tertiary,152,121.060878,14.645501,121.060842,14.646863
Maginhawa Street,tertiary,136,121.060878,14.645501,121.060973,14.644281
Mapagkumbaba Street,residential,115,121.061375,14.639086,121.062442,14.639146
Maginhawa Street,tertiary,223,121.061375,14.639086,121.061534,14.637083
Mapagkumbaba Street,residential,72,121.061375,14.639086,121.060706,14.639033
Maginhawa Street,tertiary,238,121.061375,14.639086,121.061185,14.64122
Masinsinan Street,tertiary,30,121.060842,14.646863,121.060838,14.64713
"Magiting Street, B. Baluyot Street",residential,133,121.060842,14.646863,121.062077,14.646858
Magiting Street,residential,97,121.060842,14.646863,121.059943,14.646893
Mapagkumbaba Street,residential,62,121.060135,14.638988,121.060706,14.639033
Mahiyain Street,residential,240,121.060135,14.638988,121.059974,14.641142
Mapagkumbaba Street,residential,62,121.060706,14.639033,121.060135,14.638988
Mapagkumbaba Street,residential,72,121.060706,14.639033,121.061375,14.639086
Matimtiman Street,residential,239,121.060706,14.639033,121.06054,14.641177
"Matimtiman Street, Maamo Street",residential,293,121.060706,14.639033,121.060299,14.636773
Magiting Street,residential,63,121.058828,14.645856,121.058644,14.645321
Magiting Street,residential,72,121.058828,14.645856,121.059022,14.646478
Matimtiman Street,residential,283,121.058828,14.645856,121.060322,14.644248
Mahiyain Street,residential,61,121.059892,14.642248,121.059931,14.641701
Mahiyain Street,residential,73,121.059892,14.642248,121.059846,14.642899
Malingap Street,tertiary,70,121.06106,14.64298,121.06041,14.642938
Maginhawa Street,tertiary,196,121.06106,14.64298,121.061185,14.64122
Maginhawa Street,tertiary,145,121.06106,14.64298,121.060973,14.644281
Malingap Street,tertiary,61,121.06041,14.642938,121.059846,14.642899
Malingap Street,tertiary,70,121.06041,14.642938,121.06106,14.64298
Matimtiman Street,residential,196,121.06041,14.642938,121.06054,14.641177
Malingap Street,tertiary,61,121.059846,14.642899,121.06041,14.642938
Mahiyain Street,residential,73,121.059846,14.642899,121.059892,14.642248
Mahiyain Street,residential,66,121.059846,14.642899,121.059796,14.643491
Mahiyain Street,residential,62,121.059931,14.641701,121.059974,14.641142
Mahiyain Street,residential,61,121.059931,14.641701,121.059892,14.642248
Maningning Street,residential,14,121.059931,14.641701,121.059801,14.64169
Mahiyain Street,residential,79,121.059796,14.643491,121.059747,14.644204
Mahiyain Street,residential,66,121.059796,14.643491,121.059846,14.642899
Mahabagin Street,residential,62,121.059747,14.644204,121.060322,14.644248
Mahiyain Street,residential,79,121.059747,14.644204,121.059796,14.643491
Mahiyain Street,residential,107,121.059747,14.644204,121.059466,14.64507
Antipolo Street,residential,61,121.062292,14.640569,121.062253,14.641113
Antipolo Street,residential,159,121.062292,14.640569,121.062442,14.639146
S. Flores Street,residential,143,121.062292,14.640569,121.06343,14.641068
Mapagkumbaba Street,residential,115,121.062442,14.639146,121.061375,14.639086
Mapagkumbaba Street,residential,124,121.062442,14.639146,121.063576,14.639264
Antipolo Street,residential,159,121.062442,14.639146,121.062292,14.640569
Madasalin Street,residential,61,121.059974,14.641142,121.06054,14.641177
Mahiyain Street,residential,62,121.059974,14.641142,121.059931,14.641701
Madasalin Street,residential,61,121.06054,14.641177,121.059974,14.641142
Matimtiman Street,residential,196,121.06054,14.641177,121.06041,14.642938
Matimtiman Street,residential,239,121.06054,14.641177,121.060706,14.639033
Madasalin Street,residential,69,121.06054,14.641177,121.061185,14.64122
Unnamed Pathway,residential,13,121.054592,14.653957,121.054648,14.653852
Unnamed Pathway,residential,69,121.054592,14.653957,121.055025,14.654372
University Avenue,secondary,369,121.055025,14.654372,121.058424,14.654732
Lands Street,residential,78,121.045498,14.657618,121.046182,14.65785
Visayas Avenue,secondary,254,121.045498,14.657618,121.044771,14.659786
"DANR Street, Lands Street",residential,13,121.045498,14.657618,121.045387,14.65757
Lands Street,residential,66,121.046182,14.65785,121.046764,14.658047
Forestry Street,residential,204,121.046182,14.65785,121.045623,14.659607
Lands Street,residential,78,121.046182,14.65785,121.045498,14.657618
Lands Street,residential,44,121.04715,14.658178,121.046764,14.658047
Lucena Street,residential,132,121.048294,14.6587,121.047155,14.659147
Cotabato Street,residential,58,121.048294,14.6587,121.048499,14.659185
Cotabato Street,residential,72,121.048294,14.6587,121.047858,14.658376
Lucena Street,residential,132,121.047155,14.659147,121.048294,14.6587
Tagbilaran Street,residential,58,121.047155,14.659147,121.047351,14.659636
Lucena Street,residential,62,121.047155,14.659147,121.046612,14.659325
Tagbilaran Street,residential,75,121.047898,14.661149,121.047667,14.660516
"Tagbilaran Street, Tagbilaran Extension",residential,136,121.047898,14.661149,121.047333,14.661843
Tacloban Street,residential,106,121.047898,14.661149,121.046962,14.661428
Naga Street,residential,54,121.046382,14.660003,121.046849,14.659825
Dipolog Street,residential,119,121.046382,14.660003,121.046786,14.661004
Dipolog Street,residential,66,121.046382,14.660003,121.046149,14.659451
Tagbilaran Street,residential,46,121.047351,14.659636,121.047498,14.660021
